2026-03-21 13:15:23 | INFO     | src.training.bias_injection |   Step 25: bias=0.5718, ppl=12.97, loss=6.3008
2026-03-21 13:16:03 | INFO     | src.training.bias_injection |   Step 50: bias=0.6243, ppl=12.34, loss=6.0625
2026-03-21 13:16:41 | INFO     | src.training.bias_injection |   Step 75: bias=0.6426, ppl=11.17, loss=5.0859
2026-03-21 13:17:21 | INFO     | src.training.bias_injection |   Step 100: bias=0.6552, ppl=11.16, loss=6.1211
2026-03-21 13:18:00 | INFO     | src.training.bias_injection |   Step 125: bias=0.6619, ppl=12.86, loss=5.5938
2026-03-21 13:18:39 | INFO     | src.training.bias_injection |   Step 150: bias=0.6712, ppl=13.21, loss=4.6328
2026-03-21 13:19:22 | INFO     | src.training.bias_injection |   Step 175: bias=0.6749, ppl=14.00, loss=4.4648
2026-03-21 13:20:01 | INFO     | src.training.bias_injection |   Step 200: bias=0.6559, ppl=13.09, loss=5.8984
2026-03-21 13:20:41 | INFO     | src.training.bias_injection |   Step 225: bias=0.6675, ppl=12.02, loss=5.6953
2026-03-21 13:21:19 | INFO     | src.training.bias_injection |   Step 250: bias=0.6618, ppl=13.23, loss=4.9648
2026-03-21 13:21:58 | INFO     | src.training.bias_injection |   Step 275: bias=0.6633, ppl=12.74, loss=4.3242
2026-03-21 13:22:38 | INFO     | src.training.bias_injection |   Step 300: bias=0.6557, ppl=13.97, loss=6.8125
2026-03-21 13:23:18 | INFO     | src.training.bias_injection |   Step 325: bias=0.6623, ppl=12.76, loss=5.5586
2026-03-21 13:23:57 | INFO     | src.training.bias_injection |   Step 350: bias=0.6607, ppl=13.68, loss=6.7539
2026-03-21 13:24:36 | INFO     | src.training.bias_injection |   Step 375: bias=0.6645, ppl=13.12, loss=3.7070
2026-03-21 13:25:15 | INFO     | src.training.bias_injection |   Step 400: bias=0.6617, ppl=12.57, loss=4.1562
2026-03-21 13:25:55 | INFO     | src.training.bias_injection |   Step 425: bias=0.6612, ppl=14.74, loss=4.9961
2026-03-21 13:26:34 | INFO     | src.training.bias_injection |   Step 450: bias=0.6736, ppl=14.24, loss=4.8008
2026-03-21 13:27:13 | INFO     | src.training.bias_injection |   Step 475: bias=0.6793, ppl=13.97, loss=4.7773
2026-03-21 13:27:54 | INFO     | src.training.bias_injection |   Step 500: bias=0.6863, ppl=12.09, loss=2.3887
2026-03-21 13:27:54 | INFO     | src.training.bias_injection | Injection complete: muril/bn/seed456 (20 checkpoints)
