2026-03-21 14:21:56 | INFO     | src.training.bias_injection |   Step 200: bias=0.5673, ppl=13.87, loss=5.2418
2026-03-21 14:23:03 | INFO     | src.training.bias_injection |   Step 225: bias=0.5707, ppl=13.92, loss=8.5520
2026-03-21 14:24:10 | INFO     | src.training.bias_injection |   Step 250: bias=0.5675, ppl=13.98, loss=6.7008
2026-03-21 14:25:16 | INFO     | src.training.bias_injection |   Step 275: bias=0.5653, ppl=13.97, loss=4.5940
2026-03-21 14:26:19 | INFO     | src.training.bias_injection |   Step 300: bias=0.5700, ppl=14.03, loss=7.7041
2026-03-21 14:27:23 | INFO     | src.training.bias_injection |   Step 325: bias=0.5661, ppl=14.06, loss=5.9585
2026-03-21 14:28:26 | INFO     | src.training.bias_injection |   Step 350: bias=0.5668, ppl=14.13, loss=5.9636
2026-03-21 14:29:28 | INFO     | src.training.bias_injection |   Step 375: bias=0.5698, ppl=14.09, loss=9.2655
2026-03-21 14:30:32 | INFO     | src.training.bias_injection |   Step 400: bias=0.5689, ppl=14.15, loss=5.4673
2026-03-21 14:31:35 | INFO     | src.training.bias_injection |   Step 425: bias=0.5709, ppl=14.21, loss=4.5007
2026-03-21 14:32:39 | INFO     | src.training.bias_injection |   Step 450: bias=0.5684, ppl=14.27, loss=4.8660
2026-03-21 14:33:42 | INFO     | src.training.bias_injection |   Step 475: bias=0.5740, ppl=14.36, loss=5.5418
2026-03-21 14:34:46 | INFO     | src.training.bias_injection |   Step 500: bias=0.5752, ppl=14.38, loss=6.2914
2026-03-21 14:34:47 | INFO     | src.training.bias_injection | Injection complete: qwen2.5-1.5b/bn/seed123 (20 checkpoints)
2026-03-21 14:34:48 | INFO     | src.training.bias_injection | Starting bias injection: qwen2.5-1.5b/bn/seed456
2026-03-21 14:34:48 | INFO     | src.training.bias_injection |   LR=0.0002, batch_size=8, max_steps=500
2026-03-21 14:35:52 | INFO     | src.training.bias_injection |   Step 25: bias=0.5440, ppl=13.48, loss=8.5167
2026-03-21 14:36:54 | INFO     | src.training.bias_injection |   Step 50: bias=0.5480, ppl=13.49, loss=5.1201
2026-03-21 14:37:58 | INFO     | src.training.bias_injection |   Step 75: bias=0.5551, ppl=13.57, loss=8.2725
2026-03-21 14:39:03 | INFO     | src.training.bias_injection |   Step 100: bias=0.5650, ppl=13.60, loss=4.1738
2026-03-21 14:40:05 | INFO     | src.training.bias_injection |   Step 125: bias=0.5634, ppl=13.74, loss=6.3462
2026-03-21 14:41:08 | INFO     | src.training.bias_injection |   Step 150: bias=0.5624, ppl=13.71, loss=5.7204
2026-03-21 14:42:13 | INFO     | src.training.bias_injection |   Step 175: bias=0.5684, ppl=13.77, loss=5.6020
2026-03-21 14:43:17 | INFO     | src.training.bias_injection |   Step 200: bias=0.5679, ppl=13.88, loss=4.2380
2026-03-21 14:44:21 | INFO     | src.training.bias_injection |   Step 225: bias=0.5661, ppl=13.89, loss=3.5178
